Team,GP,WIN%,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season,GP_15,WIN%_15,OFFRTG_15,DEFRTG_15,NETRTG_15,W_Post
Denver Nuggets,51,0.47100000000000003,0.49700000000000005,0.305,0.159,0.314,0.49200000000000005,0.297,0.14,0.307,2013-14,15,0.33299999999999996,104.2,112.7,-8.5,12
Detroit Pistons,52,0.423,0.484,0.302,0.161,0.35,0.516,0.28600000000000003,0.17,0.306,2013-14,14,0.429,106.7,105.4,1.3,7
Golden State Warriors,53,0.585,0.514,0.259,0.16399999999999998,0.295,0.47700000000000004,0.295,0.155,0.267,2013-14,14,0.429,106.6,103.0,3.6,20
Houston Rockets,53,0.679,0.532,0.397,0.16699999999999998,0.299,0.48100000000000004,0.252,0.14400000000000002,0.309,2013-14,15,0.8,109.5,103.6,5.9,18
Indiana Pacers,52,0.769,0.496,0.28800000000000003,0.163,0.302,0.447,0.254,0.153,0.275,2013-14,16,0.688,105.6,98.5,7.2,16
Los Angeles Clippers,55,0.6729999999999999,0.523,0.36200000000000004,0.14400000000000002,0.28600000000000003,0.484,0.298,0.158,0.31,2013-14,16,0.688,116.2,108.0,8.2,20
Los Angeles Lakers,53,0.34,0.49700000000000005,0.268,0.155,0.244,0.496,0.266,0.135,0.322,2013-14,16,0.25,104.2,107.7,-3.5,9
Memphis Grizzlies,52,0.5579999999999999,0.485,0.24600000000000002,0.149,0.324,0.496,0.267,0.155,0.282,2013-14,17,0.765,101.7,98.4,3.3,21
Miami Heat,51,0.725,0.56,0.313,0.16,0.23399999999999999,0.516,0.299,0.183,0.311,2013-14,14,0.7140000000000001,111.1,108.8,2.3,17
Milwaukee Bucks,52,0.17300000000000001,0.466,0.243,0.165,0.29600000000000004,0.509,0.29600000000000004,0.155,0.325,2013-14,16,0.125,100.0,112.1,-12.1,6
Minnesota Timberwolves,53,0.47200000000000003,0.479,0.307,0.14,0.325,0.513,0.223,0.16699999999999998,0.271,2013-14,17,0.41200000000000003,104.8,104.5,0.4,15
New Orleans Pelicans,52,0.442,0.49200000000000005,0.272,0.147,0.316,0.51,0.331,0.155,0.309,2013-14,16,0.5,104.4,105.7,-1.4,11
New York Knicks,52,0.385,0.498,0.23800000000000002,0.141,0.29,0.514,0.32899999999999996,0.162,0.28800000000000003,2013-14,16,0.375,108.5,108.8,-0.4,17
Oklahoma City Thunder,55,0.782,0.52,0.293,0.163,0.3,0.478,0.28600000000000003,0.156,0.281,2013-14,18,0.833,111.3,103.4,7.9,16
Orlando Magic,54,0.29600000000000004,0.483,0.262,0.155,0.26,0.5,0.255,0.145,0.285,2013-14,17,0.353,101.7,106.9,-5.2,7
Philadelphia 76ers,54,0.278,0.474,0.263,0.171,0.293,0.518,0.302,0.16399999999999998,0.31,2013-14,17,0.17600000000000002,94.5,107.7,-13.2,4
Phoenix Suns,51,0.588,0.515,0.284,0.156,0.302,0.489,0.312,0.159,0.308,2013-14,15,0.6,111.5,107.3,4.2,18
Portland Trail Blazers,53,0.679,0.505,0.264,0.142,0.332,0.494,0.256,0.12300000000000001,0.285,2013-14,16,0.5,108.9,109.2,-0.3,18
Sacramento Kings,53,0.34,0.48700000000000004,0.315,0.156,0.313,0.514,0.315,0.14800000000000002,0.29,2013-14,19,0.316,106.5,107.2,-0.6,10
San Antonio Spurs,53,0.7170000000000001,0.539,0.24,0.154,0.253,0.485,0.231,0.14800000000000002,0.28300000000000003,2013-14,17,0.588,107.7,104.7,2.9,24
Toronto Raptors,52,0.5379999999999999,0.488,0.298,0.149,0.316,0.49,0.302,0.16399999999999998,0.298,2013-14,17,0.588,109.4,105.9,3.6,20
Utah Jazz,52,0.365,0.48,0.268,0.158,0.3,0.503,0.3,0.135,0.29600000000000004,2013-14,14,0.5,104.1,106.3,-2.2,6
Washington Wizards,52,0.48100000000000004,0.496,0.252,0.154,0.282,0.507,0.293,0.171,0.27899999999999997,2013-14,17,0.529,104.5,101.4,3.1,19
Atlanta Hawks,54,0.7959999999999999,0.532,0.27899999999999997,0.14800000000000002,0.258,0.485,0.244,0.163,0.302,2014-15,18,0.833,112.1,102.0,10.1,17
